loop_number,timestamp,level,level_numeric,confidence,short_explanation,hr,hrv,quality,log_timestamp
261,2026-01-27T14:45:09.202874,WARNING,1,72.0,arrhythmia,123.96694214876034,34.0,72.0,2026-01-27T14:45:09.202874
262,2026-01-27T14:45:09.305202,CRITICAL,3,68.48635813896237,"severe tachycardia, arrhythmia",138.88888888888889,34.0,85.60794767370297,2026-01-27T14:45:09.306716
263,2026-01-27T14:45:09.415724,CRITICAL,3,69.04189034800254,"severe tachycardia, arrhythmia",147.05882352941177,34.0,86.30236293500317,2026-01-27T14:45:09.416728
264,2026-01-27T14:45:09.518020,CRITICAL,3,57.6,"severe tachycardia, arrhythmia",147.05882352941177,34.0,72.0,2026-01-27T14:45:09.522571
265,2026-01-27T14:45:09.627039,CRITICAL,3,68.80623433075625,"severe tachycardia, unstable rhythm",163.04347826086956,64.0,86.00779291344531,2026-01-27T14:45:09.631739
266,2026-01-27T14:45:09.736789,CRITICAL,3,57.6,"severe tachycardia, arrhythmia",163.04347826086956,64.0,72.0,2026-01-27T14:45:09.736789
267,2026-01-27T14:45:09.846681,WARNING,1,70.7161210229755,arrhythmia,83.79888268156425,64.0,70.7161210229755,2026-01-27T14:45:09.846681
