loop_number,state,action,reward,q_value,baseline_hr,sensitivity,log_timestamp
261,"(1, 1, 1)",DECREASE_SENSITIVITY,-15,-23.854768281625148,144.52112785098032,0.7,2026-03-10T16:26:06.965352
262,"(1, 1, 1)",BASELINE_DOWN,-13,-22.36501821370104,142.33951590287575,0.7,2026-03-10T16:26:07.076359
263,"(1, 1, 1)",MAINTAIN,-13,-22.6849257835215,142.1032740526861,0.7,2026-03-10T16:26:07.184108
264,"(1, 1, 1)",BASELINE_UP,-13,-22.976758469552067,144.55117157454157,0.7,2026-03-10T16:26:07.292343
265,"(1, 1, 1)",BASELINE_DOWN,-13,-23.553193122632532,143.31834983791975,0.7,2026-03-10T16:26:07.401354
266,"(1, 1, 1)",MAINTAIN,-15,-24.071501154603894,144.04716918812903,0.7,2026-03-10T16:26:07.512703
267,"(1, 1, 1)",INCREASE_SENSITIVITY,-15,-24.298146703975785,144.73954757082782,0.7999999999999999,2026-03-10T16:26:07.614104
268,"(1, 1, 1)",BASELINE_UP,-13,-24.161874677204306,146.22075201046823,0.7999999999999999,2026-03-10T16:26:07.731364
269,"(0, 1, 1)",BASELINE_UP,12,0.30000000000000004,146.90727538555456,0.7999999999999999,2026-03-10T16:26:07.840591
