loop_number,state,action,reward,q_value,baseline_hr,sensitivity,log_timestamp
261,"(1, 1, 1)",MAINTAIN,-13,-16.185050675744773,143.55142962885125,2.0,2026-01-27T14:19:44.063524
262,"(1, 1, 1)",INCREASE_SENSITIVITY,-15,-16.484572258748386,143.1920399655905,2.0,2026-01-27T14:19:44.171707
263,"(1, 1, 1)",BASELINE_DOWN,-13,-17.013029475723528,141.70819554306854,2.0,2026-01-27T14:19:44.288873
264,"(0, 1, 1)",INCREASE_SENSITIVITY,12,6.00815147543066,140.6711728626893,2.0,2026-01-27T14:19:44.398397
265,"(0, 1, 1)",INCREASE_SENSITIVITY,10,6.9781107180535065,139.68600131632903,2.0,2026-01-27T14:19:44.503905
266,"(0, 1, 1)",INCREASE_SENSITIVITY,10,7.943220164463239,138.75008834728678,2.0,2026-01-27T14:19:44.611238
267,"(0, 1, 1)",INCREASE_SENSITIVITY,10,8.903504063640924,137.86097102669663,2.0,2026-01-27T14:19:44.721742
268,"(0, 1, 1)",INCREASE_SENSITIVITY,10,9.858986543322718,136.87343428638542,2.0,2026-01-27T14:19:44.827672
