loop_number,timestamp,level,level_numeric,confidence,short_explanation,hr,hrv,quality,log_timestamp
261,2026-01-27T19:05:49.639575,WARNING,1,72.0,"mild bradycardia, arrhythmia",87.2093023255814,52.0,72.0,2026-01-27T19:05:49.639575
262,2026-01-27T19:05:49.754010,WARNING,1,69.98835465075891,arrhythmia,116.27906976744185,52.0,69.98835465075891,2026-01-27T19:05:49.754010
263,2026-01-27T19:05:49.866297,WARNING,1,72.0,arrhythmia,116.27906976744185,52.0,72.0,2026-01-27T19:05:49.866297
264,2026-01-27T19:05:49.969592,WARNING,1,83.37002965511982,arrhythmia,119.04761904761905,52.0,83.37002965511982,2026-01-27T19:05:49.969592
265,2026-01-27T19:05:50.074998,CRITICAL,3,69.20850207479532,"severe tachycardia, unstable rhythm",164.83516483516485,44.0,86.51062759349415,2026-01-27T19:05:50.074998
266,2026-01-27T19:05:50.183297,CRITICAL,3,68.53006967587525,"severe tachycardia, arrhythmia",138.88888888888889,44.0,85.66258709484406,2026-01-27T19:05:50.183297
267,2026-01-27T19:05:50.296555,CRITICAL,3,57.6,"severe tachycardia, arrhythmia",138.88888888888889,44.0,72.0,2026-01-27T19:05:50.296555
268,2026-01-27T19:05:50.402435,WARNING,1,70.79930549721244,arrhythmia,111.1111111111111,44.0,70.79930549721244,2026-01-27T19:05:50.402435
