loop_number,state,action,reward,q_value,baseline_hr,sensitivity,log_timestamp
261,"(0, 1, 1)",BASELINE_UP,12,3.8669161945565422,151.34920619233344,1.0999999999999999,2026-03-10T15:28:37.028331
262,"(0, 1, 1)",BASELINE_UP,10,4.84758161358376,152.14726312409607,1.0999999999999999,2026-03-10T15:28:37.136368
263,"(1, 0, 1)",MAINTAIN,-13,-4.0795325,152.9668662600261,1.0999999999999999,2026-03-10T15:28:37.251630
264,"(0, 0, 1)",MAINTAIN,-10,-0.8113315946984193,149.48518961369146,1.0999999999999999,2026-03-10T15:28:37.356745
265,"(1, 0, 1)",BASELINE_DOWN,-13,-4.2586325,148.63365740573417,1.0999999999999999,2026-03-10T15:28:37.470341
