loop_number,timestamp,heart_rate_bpm,hrv_ms,quality_score,quality_label,num_peaks,hr_stable,rhythm_regular,log_timestamp
261,260996,123.96694214876034,34.0,72.0,GOOD,1,False,False,2026-01-27T14:45:09.202874
262,261996,138.88888888888889,34.0,85.60794767370297,EXCELLENT,3,False,False,2026-01-27T14:45:09.306716
263,262996,147.05882352941177,34.0,86.30236293500317,EXCELLENT,3,False,False,2026-01-27T14:45:09.416728
264,263996,147.05882352941177,34.0,72.0,GOOD,1,False,False,2026-01-27T14:45:09.522571
265,264996,163.04347826086956,64.0,86.00779291344531,EXCELLENT,3,False,True,2026-01-27T14:45:09.631739
266,265996,163.04347826086956,64.0,72.0,GOOD,1,False,False,2026-01-27T14:45:09.736789
267,266996,83.79888268156425,64.0,70.7161210229755,GOOD,2,False,False,2026-01-27T14:45:09.846681
