loop_number,timestamp,level,level_numeric,confidence,short_explanation,hr,hrv,quality,log_timestamp
261,2026-03-10T16:26:06.964255,CRITICAL,3,57.6,"severe tachycardia, arrhythmia",154.63917525773195,60.0,72.0,2026-03-10T16:26:06.965352
262,2026-03-10T16:26:07.075260,CRITICAL,3,68.63265293655479,"severe tachycardia, unstable rhythm",138.88888888888889,60.0,85.79081617069349,2026-03-10T16:26:07.076359
263,2026-03-10T16:26:07.183112,CRITICAL,3,68.5960591907348,"severe tachycardia, arrhythmia",137.61467889908258,60.0,85.74507398841851,2026-03-10T16:26:07.184108
264,2026-03-10T16:26:07.292343,CRITICAL,3,68.98403391438153,"severe tachycardia, unstable rhythm",153.0612244897959,48.0,86.2300423929769,2026-03-10T16:26:07.292343
265,2026-03-10T16:26:07.401354,CRITICAL,3,68.53201414220023,"severe tachycardia, unstable rhythm",157.89473684210526,64.0,85.66501767775027,2026-03-10T16:26:07.401354
266,2026-03-10T16:26:07.512703,CRITICAL,3,57.6,"severe tachycardia, arrhythmia",157.89473684210526,64.0,72.0,2026-03-10T16:26:07.512703
267,2026-03-10T16:26:07.614104,CRITICAL,3,57.6,"severe tachycardia, arrhythmia",157.89473684210526,64.0,72.0,2026-03-10T16:26:07.614104
268,2026-03-10T16:26:07.730263,CRITICAL,3,68.13211781561147,"severe tachycardia, arrhythmia",136.36363636363637,64.0,85.16514726951434,2026-03-10T16:26:07.731364
269,2026-03-10T16:26:07.840591,WARNING,1,83.22456124771244,arrhythmia,121.95121951219512,64.0,83.22456124771244,2026-03-10T16:26:07.840591
