loop_number,timestamp,level,level_numeric,confidence,short_explanation,hr,hrv,quality,log_timestamp
261,2026-03-10T15:47:10.027782,WARNING,1,84.00583298103072,"reduced variability, arrhythmia",128.2051282051282,36.0,84.00583298103072,2026-03-10T15:47:10.027782
262,2026-03-10T15:47:10.129422,WARNING,1,72.0,"reduced variability, arrhythmia",128.2051282051282,36.0,72.0,2026-03-10T15:47:10.129422
263,2026-03-10T15:47:10.241272,WARNING,1,72.0,"reduced variability, arrhythmia",128.2051282051282,36.0,72.0,2026-03-10T15:47:10.241272
264,2026-03-10T15:47:10.357196,CRITICAL,3,85.54505095595754,"severe tachycardia, reduced variability, arrhythmia",140.18691588785046,36.0,85.54505095595754,2026-03-10T15:47:10.357196
265,2026-03-10T15:47:10.459442,CRITICAL,3,84.63819764198445,"severe tachycardia, reduced variability, arrhythmia",131.57894736842104,36.0,84.63819764198445,2026-03-10T15:47:10.461452
