loop_number,timestamp,heart_rate_bpm,hrv_ms,quality_score,quality_label,num_peaks,hr_stable,rhythm_regular,log_timestamp
261,260996,87.2093023255814,52.0,72.0,GOOD,1,False,False,2026-01-27T19:05:49.639575
262,261996,116.27906976744185,52.0,69.98835465075891,GOOD,2,False,False,2026-01-27T19:05:49.754010
263,262996,116.27906976744185,52.0,72.0,GOOD,1,False,False,2026-01-27T19:05:49.866297
264,263996,119.04761904761905,52.0,83.37002965511982,EXCELLENT,3,False,False,2026-01-27T19:05:49.969592
265,264996,164.83516483516485,44.0,86.51062759349415,EXCELLENT,3,False,True,2026-01-27T19:05:50.074998
266,265996,138.88888888888889,44.0,85.66258709484406,EXCELLENT,3,False,False,2026-01-27T19:05:50.183297
267,266996,138.88888888888889,44.0,72.0,GOOD,1,False,False,2026-01-27T19:05:50.296555
268,267996,111.1111111111111,44.0,70.79930549721244,GOOD,2,False,False,2026-01-27T19:05:50.402435
