loop_number,state,action,reward,q_value,baseline_hr,sensitivity,log_timestamp
261,"(0, 1, 1)",BASELINE_UP,12,4.95755528086827,150.86448480529654,0.6,2026-01-27T20:49:15.917867
262,"(1, 1, 1)",MAINTAIN,-13,-23.48412757645415,150.3967322631449,0.6,2026-01-27T20:49:16.022949
263,"(1, 1, 1)",BASELINE_UP,-15,-23.820202250451455,151.85236734810087,0.6,2026-01-27T20:49:16.136010
264,"(1, 1, 1)",DECREASE_SENSITIVITY,-15,-24.411920317270333,151.33522067880904,0.5,2026-01-27T20:49:16.249224
265,"(0, 1, 1)",BASELINE_UP,-10,3.9327675044639285,149.881942790936,0.5,2026-01-27T20:49:16.355929
266,"(0, 1, 1)",BASELINE_UP,10,4.913103666941609,149.88486057676232,0.5,2026-01-27T20:49:16.464786
267,"(1, 1, 1)",INCREASE_SENSITIVITY,-13,-24.28659012184133,150.63237578968244,0.6,2026-01-27T20:49:16.581011
268,"(1, 1, 1)",MAINTAIN,-15,-24.866706938571877,151.34251524195656,0.6,2026-01-27T20:49:16.690346
