loop_number,timestamp,level,level_numeric,confidence,short_explanation,hr,hrv,quality,log_timestamp
261,2026-03-10T15:14:02.679720,CRITICAL,3,57.6,"severe tachycardia, arrhythmia",140.18691588785046,50.0,72.0,2026-03-10T15:14:02.679720
262,2026-03-10T15:14:02.786654,CRITICAL,3,67.52466697786991,"severe tachycardia, arrhythmia",156.25,80.0,84.40583372233739,2026-03-10T15:14:02.786654
263,2026-03-10T15:14:02.897829,CRITICAL,3,69.23768251511534,"severe tachycardia, unstable rhythm",144.23076923076923,80.0,86.54710314389416,2026-03-10T15:14:02.897829
264,2026-03-10T15:14:03.009166,CRITICAL,3,57.6,"severe tachycardia, arrhythmia",144.23076923076923,80.0,72.0,2026-03-10T15:14:03.009166
265,2026-03-10T15:14:03.114672,CRITICAL,3,70.39236915538153,"severe tachycardia, unstable rhythm",161.29032258064515,80.0,87.99046144422691,2026-03-10T15:14:03.118570
266,2026-03-10T15:14:03.232582,CRITICAL,3,68.57311033318138,"severe tachycardia, unstable rhythm",157.89473684210526,64.0,85.71638791647672,2026-03-10T15:14:03.232582
267,2026-03-10T15:14:03.345733,CRITICAL,3,57.6,"severe tachycardia, arrhythmia",157.89473684210526,64.0,72.0,2026-03-10T15:14:03.345733
