loop_number,state,action,reward,q_value,baseline_hr,sensitivity,log_timestamp
261,"(2, 0, 1)",MAINTAIN,-13,-12.816374840472022,75.19062216108816,0.7999999999999999,2026-01-25T20:10:55.936908
262,"(0, 0, 0)",INCREASE_SENSITIVITY,-18,-21.80137997085933,71.43109105303374,0.8999999999999999,2026-01-25T20:10:56.039971
263,"(0, 0, 0)",DECREASE_SENSITIVITY,-18,-22.148866167869603,67.85953650038205,0.7999999999999999,2026-01-25T20:10:56.143392
264,"(2, 0, 1)",BASELINE_DOWN,-13,-13.613489668752477,70.21962089985274,0.7999999999999999,2026-01-25T20:10:56.248040
265,"(2, 0, 1)",DECREASE_SENSITIVITY,-13,-12.98661197100938,73.71798564925263,0.7,2026-01-25T20:10:56.352455
266,"(0, 0, 0)",BASELINE_UP,-18,-22.506796147654107,71.93208636678999,0.7,2026-01-25T20:10:56.455495
267,"(2, 0, 0)",DECREASE_SENSITIVITY,-18,-5.373045,77.71048204845049,0.6,2026-01-25T20:10:56.559503
268,"(0, 0, 1)",BASELINE_DOWN,-13,-6.313667441250001,71.92495794602796,0.6,2026-01-25T20:10:56.664169
