loop_number,timestamp,heart_rate_bpm,hrv_ms,quality_score,quality_label,num_peaks,hr_stable,rhythm_regular,log_timestamp
261,260996,128.2051282051282,36.0,84.00583298103072,EXCELLENT,3,False,False,2026-03-10T15:47:10.027782
262,261996,128.2051282051282,36.0,72.0,GOOD,1,False,False,2026-03-10T15:47:10.129422
263,262996,128.2051282051282,36.0,72.0,GOOD,1,False,False,2026-03-10T15:47:10.241272
264,263996,140.18691588785046,36.0,85.54505095595754,EXCELLENT,3,False,False,2026-03-10T15:47:10.357196
265,264996,131.57894736842104,36.0,84.63819764198445,EXCELLENT,3,False,False,2026-03-10T15:47:10.461452
