loop_number,timestamp,level,level_numeric,confidence,short_explanation,hr,hrv,quality,log_timestamp
261,2026-01-27T20:49:15.917867,WARNING,1,84.12856915822347,"mild bradycardia, arrhythmia",128.2051282051282,38.0,84.12856915822347,2026-01-27T20:49:15.917867
262,2026-01-27T20:49:16.022949,CRITICAL,3,69.13024440148041,"severe tachycardia, unstable rhythm",141.50943396226415,38.0,86.41280550185051,2026-01-27T20:49:16.022949
263,2026-01-27T20:49:16.134126,CRITICAL,3,57.6,"severe tachycardia, arrhythmia",141.50943396226415,38.0,72.0,2026-01-27T20:49:16.136010
264,2026-01-27T20:49:16.246689,CRITICAL,3,57.6,"severe tachycardia, arrhythmia",141.50943396226415,38.0,72.0,2026-01-27T20:49:16.249224
265,2026-01-27T20:49:16.355929,WARNING,1,71.74415306445874,"mild bradycardia, arrhythmia",84.26966292134831,38.0,71.74415306445874,2026-01-27T20:49:16.355929
266,2026-01-27T20:49:16.464786,WARNING,1,71.32649395242773,"mild bradycardia, arrhythmia",111.94029850746269,38.0,71.32649395242773,2026-01-27T20:49:16.464786
267,2026-01-27T20:49:16.579005,CRITICAL,3,69.2106552017941,"severe tachycardia, unstable rhythm",164.83516483516485,48.0,86.51331900224261,2026-01-27T20:49:16.581011
268,2026-01-27T20:49:16.690346,CRITICAL,3,57.6,"severe tachycardia, arrhythmia",164.83516483516485,48.0,72.0,2026-01-27T20:49:16.690346
