loop_number,state,action,reward,q_value,baseline_hr,sensitivity,log_timestamp
261,"(0, 1, 1)",DECREASE_SENSITIVITY,-10,9.859147247373514,133.9403855879209,0.5,2026-01-27T19:05:49.639575
262,"(1, 1, 1)",BASELINE_DOWN,10,-13.030323083471352,131.15731979689696,0.5,2026-01-27T19:05:49.754010
263,"(1, 1, 1)",BASELINE_DOWN,10,-11.965171468053995,128.5134072954242,0.5,2026-01-27T19:05:49.866297
264,"(1, 1, 1)",BASELINE_DOWN,12,-10.705345610713724,126.14011788303394,0.5,2026-01-27T19:05:49.969592
265,"(2, 1, 1)",INCREASE_SENSITIVITY,-13,-9.400724990282889,128.07487023064047,0.6,2026-01-27T19:05:50.074998
266,"(1, 1, 1)",BASELINE_DOWN,-13,-11.951818882660156,126.71557116355288,0.6,2026-01-27T19:05:50.183297
267,"(1, 1, 1)",BASELINE_DOWN,-15,-13.392059788246854,125.42423704981968,0.6,2026-01-27T19:05:50.296555
268,"(1, 1, 1)",BASELINE_DOWN,10,-12.32509948930562,122.80858075288425,0.6,2026-01-27T19:05:50.402435
