loop_number,timestamp,level,level_numeric,confidence,short_explanation,hr,hrv,quality,log_timestamp
261,2026-03-10T15:28:37.028331,WARNING,1,84.6915098633737,arrhythmia,129.3103448275862,52.0,84.6915098633737,2026-03-10T15:28:37.028331
262,2026-03-10T15:28:37.136368,WARNING,1,72.0,arrhythmia,129.3103448275862,52.0,72.0,2026-03-10T15:28:37.136368
263,2026-03-10T15:28:37.251630,CRITICAL,3,87.97092242841983,"severe tachycardia, reduced variability, unstable rhythm",168.53932584269663,32.0,87.97092242841983,2026-03-10T15:28:37.251630
264,2026-03-10T15:28:37.356745,WARNING,1,71.64584921202231,"mild bradycardia, reduced variability, arrhythmia",83.33333333333334,32.0,71.64584921202231,2026-03-10T15:28:37.356745
265,2026-03-10T15:28:37.470341,CRITICAL,3,88.43679163493735,"severe tachycardia, reduced variability, unstable rhythm",170.45454545454547,32.0,88.43679163493735,2026-03-10T15:28:37.470341
