loop_number,state,action,reward,q_value,baseline_hr,sensitivity,log_timestamp
261,"(1, 0, 0)",MAINTAIN,-18,-32.6258710624288,76.73650977027775,1.2,2026-01-27T13:50:09.436821
262,"(2, 0, 1)",DECREASE_SENSITIVITY,-13,-13.947809248504814,81.52037393693627,1.0999999999999999,2026-01-27T13:50:09.546417
263,"(0, 0, 0)",BASELINE_UP,-18,-22.731415596227436,79.34435524008946,1.0999999999999999,2026-01-27T13:50:09.655696
264,"(2, 0, 1)",BASELINE_UP,-13,-14.221678911154333,85.79986475081225,1.0999999999999999,2026-01-27T13:50:09.763572
265,"(1, 0, 0)",BASELINE_DOWN,-18,-32.6258710624288,83.21564074404085,1.0999999999999999,2026-01-27T13:50:09.874462
266,"(0, 0, 1)",DECREASE_SENSITIVITY,-13,-5.21706625,79.05485870683881,0.9999999999999999,2026-01-27T13:50:09.997479
267,"(2, 0, 0)",MAINTAIN,-18,-3.591,84.59578665757282,0.9999999999999999,2026-01-27T13:50:10.106769
268,"(2, 0, 1)",INCREASE_SENSITIVITY,-13,-14.234246519013483,88.88872459742146,1.0999999999999999,2026-01-27T13:50:10.207570
